Mothers	A father is the male parent of a child. Besides the paternal bonds of a father to his children, the father may have a parental, legal, and social relationship with the child that carries with it certain rights and obligations.
AJ Jacobs	Arnold Stephen Jacobs Jr., commonly called A.J. Jacobs (born March 20, 1968) is an American journalist, author, and lecturer best known for writing about his lifestyle experiments. He is an editor at large for Esquire and has worked for the Antioch Daily Ledger and Entertainment Weekly.
Aala El Khani	Ahmed Raza Khan, commonly known as Aala Hazrat, Ahmed Raza Khan Barelvi, or Ahmed Rida Khan in Arabic,  (14 June 1856 CE or 10 Shawwal 1272 AH – 28 October 1921 CE or 25 Safar 1340 AH), was an Islamic scholar, jurist, mufti, philosopher, theologian, ascetic, Sufi, poet, and mujaddid in British India.
Khan wrote on law, religion, philosophy and the sciences, and because he mastered many subjects in both rational and religious sciences, Francis Robinson, one of the leading Western scholars of South Asian Islam, considers him to be a polymath.Khan was a Sunni Sufi scholar and reformer in north India who wrote extensively in defense of Muhammad and popular Sufi practices and became the leader of a movement called "Ahl-i Sunnat wa Jamàat".
Aaron Huey	Aaron Huey (born 1975) is an American photographer, explorer, activist, and storyteller. He is known for his work as a photographer with National Geographic, for whom he has shot many magazine features on a diverse array of subjects from adventure, to war, to wildlife.
Aaron Koblin	Aaron Koblin (born January 14, 1982) is an American digital media artist and entrepreneur best known for his innovative use of data visualization and his pioneering work in crowdsourcing, virtual reality, and interactive film. He is co-founder and president of virtual reality company Within (formerly Vrse), founded with Chris Milk.
Aaron O Connell	Aaron John O'Connell (born April 8, 1986) is an American model and actor. O'Connell is best known for his portrayal of Wyatt Cryer in the prime time television drama The Haves and the Have Nots which airs on the Oprah Winfrey Network.
Abe Davis	not found
Abha Dawesar	Abha Dawesar (born 1 January 1974) is an Indian-born novelist writing in English. Her novels include Babyji, Family Values, That Summer in Paris, and Miniplanner.
Abigail Marsh	Abigail Marsh (born 1976) is a psychologist and  neuroscientist who works as a professor at Georgetown University's Department of Psychology and the Interdisciplinary Neuroscience Program, where she is the director of the Laboratory on Social and Affective Neuroscience.


== Early life and education ==
Marsh was born in 1976 and is from Tacoma, Washington.Marsh graduated from Dartmouth College in 1999 with a Bachelor of Arts in psychology.
Abigail Washburn	Abigail Washburn (born November 10, 1977) is an American clawhammer banjo player and singer.  She performs and records as a soloist, as well as with the old-time bands Uncle Earl and Sparrow Quartet, experimental group The Wu Force, and as a duo with her husband Béla Fleck.
Achenyo Idachaba	Achenyo Idachaba (born c. 1970) is an American-born entrepreneur working in Nigeria.
Adam Davidson	Adam Davidson (born 1970) is an American journalist. He was a co-founder of NPR's Planet Money program.
Adam Driver	not found
Adam Foss	Foss was an American rock band formed in El Paso, Texas in the early 1990s. It is known for former members Cedric Bixler-Zavala, who found success in the music industry as the singer for the rock bands At the Drive-In and the Mars Volta, as well as Beto O'Rourke, who later was a U.S. Representative and candidate for U.S. Senator, U.S. President, and Governor of Texas.
Adam Galinsky	Adam Daniel Galinsky (born 1969) is an American social psychologist known for his research on leadership, power, negotiations, decision-making, diversity, and ethics. He is Vikram S. Pandit Professor of Business and Chair of Management Division at Columbia Business School.With Maurice Schweitzer, he is co-author of Friend and Foe: When to Cooperate, When to Compete, and How to Succeed at Both (2015).
Adam Garone	not found
Adam Grant	Adam M. Grant (born August 13, 1981) is an American popular science author, and professor at the Wharton School of the University of Pennsylvania specializing in organizational psychology.


== Early life and education ==
Grant was born in the township of West Bloomfield, Michigan, on August 13, 1981, to a lawyer father and a teacher mother.
Adam Grosser	Icyball is a name given to two early refrigerators, one made by Australian Sir Edward Hallstrom in 1923, and the other design patented by David Forbes Keith of Toronto (filed 1927, granted 1929), and manufactured by American Powel Crosley Jr., who bought the rights to the device. Both devices are unusual in design in that they did not require the use of electricity for cooling.
Adam Ockelford	Adam Ockelford is a Professor of Music and Director of the Applied Music Research Centre at the University of Roehampton, London. He wrote the official biography of Derek Paravicini entitled "In the Key of Genius: The Extraordinary Life of Derek Paravicini".
Adam Ostrow	Adam Ostrow is an American businessman, writer and speaker who currently serves as the Chief Digital Officer at TEGNA Inc.
Before joining TEGNA, Ostrow was Chief Strategy Officer at Mashable.
Adam Sadowsky	Adam Sadowsky (October 28, 1970 – August 11, 2021) was an American entrepreneur and actor.
He was the president of Syyn Labs, the company responsible for building the Rube Goldberg Machine featured in the music video for the OK Go song "This Too Shall Pass".As a teenager, Adam acted professionally on the NBC sitcom It's Your Move alongside Jason Bateman, in FOX's Second Chance with Matthew Perry, and had a small role in 3 O'Clock High.Sadowsky was featured as a guest judge on the show Unchained Reaction.Sadowsky died on August 11, 2021, at the age of 50.
Adam Savage	Adam Whitney Savage (born July 15, 1967) is an American special effects designer and fabricator, actor, educator, and television personality and producer, best known as the former co-host (with Jamie Hyneman) of the Discovery Channel television series MythBusters and Unchained Reaction. His model work has appeared in major films, including Star Wars: Episode II – Attack of the Clones and The Matrix Reloaded.
Adam Spencer	Adam Barrington Spencer (born 29 January 1969) is an Australian comedian, media personality and former radio presenter. He first came to fame when he won his round of the comedic talent search Raw Comedy in 1996.
Adamdela Zerda	not found
Aditi Gupta	Aditi Gupta is an Indian author and co-founder of Menstrupedia Comic. She and her husband, both National Institute of Design Alumni, co-founded Menstrupedia Comic in 2012.
Aditi Shankardass	Aditi Shankardass (Hindi: अदिती शंकरदास) is a British neuroscientist. 
She has appeared in the media to discuss developmental disorders in children, including on CNN, ABC News, the Times of India, and the Financial Express.
Adora Svitak	Adora Svitak (born October 15, 1997)  is an American writer, public speaker, former child prodigy, and activist. She did work for the Wikimedia Foundation as a communications associate.
Afra Raymond	not found
Aimee Mullins	Aimee Mullins is an American athlete, actress, and public speaker. She was born with a medical condition that resulted in the amputation of both of her lower legs.
